epoch,f1-score,iou_score,loss,lr,val_f1-score,val_iou_score,val_loss
0,0.36513930559158325,0.3437168002128601,0.9507548213005066,1e-04,0.39537739753723145,0.3709108233451843,0.9436199069023132
1,0.40690580010414124,0.38930800557136536,0.9349274039268494,1e-04,0.4204714894294739,0.3986726701259613,0.9298349618911743
2,0.41362738609313965,0.3959118723869324,0.9318774342536926,1e-04,0.41814136505126953,0.3918428122997284,0.933567225933075
3,0.41714492440223694,0.4000709056854248,0.9303011894226074,1e-04,0.4480346441268921,0.4253399074077606,0.9168567061424255
4,0.4184463322162628,0.40104469656944275,0.9296827912330627,1e-04,0.4480131268501282,0.42235657572746277,0.9171934127807617
5,0.4212900996208191,0.4042660593986511,0.9282530546188354,1e-04,0.44852471351623535,0.424254447221756,0.9176239967346191
6,0.4214406907558441,0.4044264256954193,0.9282100796699524,1e-04,0.45648548007011414,0.4307348132133484,0.9127405881881714
7,0.42347705364227295,0.40666624903678894,0.9272167086601257,1e-04,0.4522511959075928,0.42713361978530884,0.914976954460144
8,0.4246201515197754,0.40805724263191223,0.9267212748527527,1e-04,0.46319809556007385,0.440749853849411,0.9095869064331055
9,0.42753320932388306,0.41082698106765747,0.9254027009010315,1e-04,0.46208447217941284,0.43888095021247864,0.9101843237876892
10,0.42771828174591064,0.41129088401794434,0.9252374768257141,1e-04,0.4334697723388672,0.40555474162101746,0.9251562356948853
11,0.4285314381122589,0.4125388264656067,0.9249365925788879,1e-04,0.4510079324245453,0.42601993680000305,0.9156500697135925
12,0.43023061752319336,0.413844496011734,0.9241043925285339,1e-04,0.45122653245925903,0.42777419090270996,0.9173861145973206
13,0.43153735995292664,0.41508907079696655,0.9235311150550842,1e-04,0.4600667655467987,0.4363381266593933,0.9121609330177307
14,0.4296828508377075,0.41350215673446655,0.9243468046188354,1e-04,0.4572799503803253,0.4328690767288208,0.9130873084068298
15,0.43276578187942505,0.4163867235183716,0.9229058027267456,1e-04,0.46251824498176575,0.4381725788116455,0.9103690385818481
16,0.43330350518226624,0.41701972484588623,0.9226714372634888,1e-04,0.46902212500572205,0.4458652138710022,0.9070131778717041
17,0.43371766805648804,0.41788217425346375,0.9224934577941895,1e-04,0.46097037196159363,0.4367374777793884,0.9111077785491943
18,0.43611904978752136,0.4197649657726288,0.92136150598526,1e-04,0.4663916528224945,0.4419887661933899,0.9084212779998779
19,0.4353465437889099,0.4192851185798645,0.9217274188995361,1e-04,0.46732693910598755,0.44423168897628784,0.9077030420303345
20,0.4350736141204834,0.4193323850631714,0.9218001961708069,1e-04,0.4687816798686981,0.4449675679206848,0.9069974422454834
21,0.436406672000885,0.4206213355064392,0.9212165474891663,1e-04,0.4649962782859802,0.4407375454902649,0.9090883731842041
22,0.4341617524623871,0.4185079336166382,0.9222242832183838,1e-04,0.4701976478099823,0.44738081097602844,0.9068331122398376
23,0.43524134159088135,0.4194764494895935,0.9217315912246704,1e-04,0.4628676772117615,0.43945035338401794,0.9102330207824707
24,0.43542513251304626,0.4197235107421875,0.9216564893722534,1e-04,0.4624759256839752,0.43768468499183655,0.9098215699195862
