epoch,f1-score,iou_score,loss,lr,val_f1-score,val_iou_score,val_loss
0,0.35458114743232727,0.3438877761363983,1.0057408809661865,1e-04,0.3949104845523834,0.3838249146938324,0.9523960947990417
1,0.376491904258728,0.3682050406932831,0.9577416181564331,1e-04,0.4001660943031311,0.3892849385738373,0.9494693875312805
2,0.38044533133506775,0.3723190128803253,0.9553595185279846,1e-04,0.4021925926208496,0.3909216821193695,0.9489524960517883
3,nan,nan,nan,1e-04,nan,nan,nan
4,nan,nan,nan,1e-04,nan,nan,nan
5,nan,nan,nan,1e-04,nan,nan,nan
6,nan,nan,nan,1e-04,nan,nan,nan
7,nan,nan,nan,1e-04,nan,nan,nan
8,nan,nan,nan,1e-04,nan,nan,nan
9,nan,nan,nan,1e-04,nan,nan,nan
10,nan,nan,nan,1e-04,nan,nan,nan
11,nan,nan,nan,1e-04,nan,nan,nan
12,nan,nan,nan,1e-04,nan,nan,nan
13,nan,nan,nan,1e-05,nan,nan,nan
14,nan,nan,nan,1e-05,nan,nan,nan
15,nan,nan,nan,1e-05,nan,nan,nan
16,nan,nan,nan,1e-05,nan,nan,nan
17,nan,nan,nan,1e-05,nan,nan,nan
18,nan,nan,nan,1e-05,nan,nan,nan
19,nan,nan,nan,1e-05,nan,nan,nan
20,nan,nan,nan,1e-05,nan,nan,nan
21,nan,nan,nan,1e-05,nan,nan,nan
22,nan,nan,nan,1e-05,nan,nan,nan
23,nan,nan,nan,1e-06,nan,nan,nan
24,nan,nan,nan,1e-06,nan,nan,nan
25,nan,nan,nan,1e-06,nan,nan,nan
26,nan,nan,nan,1e-06,nan,nan,nan
27,nan,nan,nan,1e-06,nan,nan,nan
