epoch,f1-score,iou_score,loss,lr,val_f1-score,val_iou_score,val_loss
0,0.21687620878219604,0.16072387993335724,1.588747262954712,1e-04,0.24327726662158966,0.19153153896331787,1.5024194717407227
1,0.22659099102020264,0.169962540268898,1.5654618740081787,1e-04,0.27336105704307556,0.23167823255062103,1.3830454349517822
2,0.27768391370773315,0.23795735836029053,1.3634507656097412,1e-04,0.29608312249183655,0.2663215100765228,1.2706220149993896
3,0.29731878638267517,0.2683277130126953,1.263731598854065,1e-04,0.31242766976356506,0.29398950934410095,1.1701289415359497
4,0.30544182658195496,0.2793341279029846,1.2277679443359375,1e-04,0.3219640254974365,0.3113446533679962,1.0979670286178589
5,0.3209725320339203,0.3036215305328369,1.1384955644607544,1e-04,0.3277185261249542,0.32228973507881165,1.0448839664459229
6,0.32648223638534546,0.3134166896343231,1.0970851182937622,1e-04,0.33065515756607056,0.3280197083950043,1.0117971897125244
7,0.3304874002933502,0.32768967747688293,1.0138880014419556,1e-04,0.33210697770118713,0.33088964223861694,0.9918437004089355
8,0.3317376673221588,0.33015722036361694,0.9973243474960327,1e-04,0.3327604830265045,0.33218953013420105,0.9809020161628723
9,0.3327288329601288,0.3321264684200287,0.981487512588501,1e-04,0.3330504596233368,0.33276793360710144,0.9750540256500244
10,0.33306482434272766,0.33279654383659363,0.9747323989868164,1e-04,0.33319374918937683,0.3330540359020233,0.9716075658798218
11,0.33086714148521423,0.3280971944332123,1.0119377374649048,1e-04,0.33325710892677307,0.3331805169582367,0.9698134660720825
12,0.32992663979530334,0.32640039920806885,1.0221136808395386,1e-04,0.33329007029533386,0.3332459628582001,0.9687421321868896
13,0.3332903981208801,0.33324676752090454,0.9687287211418152,1e-04,0.3333081901073456,0.3332816958427429,0.9680824279785156
14,0.33330705761909485,0.33327963948249817,0.9681214690208435,1e-04,0.3333189785480499,0.33330249786376953,0.9676594138145447
15,0.33331918716430664,0.33330294489860535,0.9676477313041687,1e-04,0.3333260715007782,0.3333154022693634,0.9673808813095093
16,0.33332622051239014,0.33331575989723206,0.9673698544502258,1e-04,0.33333131670951843,0.3333241939544678,0.9671936631202698
17,0.3333311378955841,0.3333240747451782,0.9671920537948608,1e-04,0.33333590626716614,0.33333098888397217,0.9670647382736206
18,0.3333348035812378,0.33332952857017517,0.9670831561088562,1e-04,0.33334067463874817,0.3333372175693512,0.9669708609580994
19,0.3333394229412079,0.3333357572555542,0.9669831395149231,1e-04,0.33334532380104065,0.3333427608013153,0.9669073820114136
